code_rome,libelle
K2402,Ingénieur / Ingénieure de recherche scientifique
K2501,Gardien / Gardienne
K1707,Policier municipal / Policière municipale
K1801,Conseiller / Conseillère en insertion professionnelle
K1802,Chargé / Chargée de développement local
K1901,Notaire
K1902,Clerc de notaire
K1903,Juriste
K1904,Juge
K2101,Conseiller / Conseillère en formation
K2102,Responsable pédagogique
K2103,Chef / Cheffe d'établissement
K2104,Surveillant / Surveillante en milieu scolaire
K2503,Agent / Agente de prévention et de sécurité
K2601,Porteur / Porteuse funéraire
K2602,Conseiller / Conseillère funéraire
K2603,Thanatopracteur / Thanatopractrice
L1101,Disc-jockey
L1102,Mannequin
L1103,Animateur / Animatrice radio
L1505,Cadreur / Cadreuse
M1201,Analyste Financier / Financière
M1202,Expert-comptable / Experte-comptable
M1203,Comptable
M1204,Contrôleur / Contrôleuse de gestion
M1205,Directeur administratif et financier / Directrice administrative et financière -DAF-
M1206,Chef comptable
M1207,Trésorier / Trésorière
M1707,Responsable Commercial / Commerciale
M1601,Chargé / Chargée d'accueil
M1602,Agent administratif / Agente administrative
M1603,Facteur / Factrice
M1604,Assistant / Assistante de direction
M1605,Secrétaire technique
M1606,Opérateur / Opératrice de saisie
M1607,Secrétaire
M1608,Secrétaire comptable
M1609,Secrétaire médical / Secrétaire médicale
M1701,Responsable de l'administration des ventes
M1702,Planneur / Planneuse stratégique
M1703,Chef / Cheffe de produit
M1704,Responsable relation client (CRM)
M1705,Responsable marketing
M1706,Chef de promotion des ventes
K2502,Responsable sécurité de site
N1102,Déménageur / Déménageuse
N1103,Préparateur / Préparatrice de commandes
N1104,Pontier / Pontière
N1105,Manutentionnaire
N1201,Affréteur / Affréteuse
M1801,Administrateur / Administratrice de systèmes d'information (SI)
M1802,Expert / Experte systèmes et réseaux informatiques
M1803,Directeur / Directrice des services informatiques -DSI-
M1804,Ingénieur / Ingénieure télécoms
M1805,Développeur / Développeuse informatique
M1806,Product Owner
M1807,Opérateur / Opératrice télécom aux armées
M1301,Président Directeur Général / Présidente Directrice Générale -PDG-
M1302,Responsable de Petite ou Moyenne Entreprise -PME-
M1401,Enquêteur / Enquêtrice sondage
M1402,Consultant / Consultante en organisation et management
M1403,Chargé / Chargée d'études socio-économiques
M1404,Sondeur enquêteur / Sondeuse enquêtrice
M1501,Assistant / Assistante ressources humaines
M1502,Chargé / Chargée de recrutement
M1503,Directeur / Directrice des Ressources Humaines -DRH-
N1202,Employé / Employée de transit
L1506,Machiniste spectacle
L1507,Monteur / Monteuse vidéo
L1508,Régisseur / Régisseuse du son
L1509,Régisseur / Régisseuse de production
M1101,Acheteur / Acheteuse
M1102,Responsable des achats
